f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f jL0400m jL0400f jL0600m jL0600f jL0809m jL0809f jV0300m jV0300f jV0500m jV0500f jV1000m jV1000f 
0.0585702 1 45 0.938469 -20.204 1 0 0.345364 159.796 1 90 0.156635 179.39 0.156996 175.504 10.9152 -39.7435 9.45037 -38.9258 1 0 0.234617 69.796 0.106407 89.3903 1 -135 0.0863409 -110.204 0.234617 -110.204 0.106407 -90.6097
0.0599484 1 45 0.935815 -20.6397 1 0 0.352491 159.36 1 90 0.165326 179.371 0.165689 175.574 10.6664 -39.6205 9.16749 -38.7377 1 0 0.233954 69.3603 0.109729 89.3713 1 -135 0.0881227 -110.64 0.233954 -110.64 0.109729 -90.6287
0.0613591 1 45 0.933059 -21.0832 1 0 0.359723 158.917 1 90 0.174571 179.351 0.174938 175.641 10.4234 -39.4947 8.88962 -38.5411 1 0 0.233265 68.9168 0.113202 89.3514 1 -135 0.0899307 -111.083 0.233265 -111.083 0.113202 -90.6486
0.0628029 1 45 0.930198 -21.5343 1 0 0.367058 158.466 1 90 0.184416 179.331 0.184786 175.705 10.186 -39.366 8.6166 -38.3355 1 0 0.232549 68.4657 0.116837 89.3306 1 -135 0.0917646 -111.534 0.232549 -111.534 0.116837 -90.6694
0.0642807 1 45 0.927228 -21.9932 1 0 0.374496 158.007 1 90 0.194908 179.309 0.195281 175.767 9.9541 -39.2343 8.3483 -38.1203 1 0 0.231807 68.0068 0.120645 89.3087 1 -135 0.0936241 -111.993 0.231807 -111.993 0.120645 -90.6913
0.0657933 1 45 0.924148 -22.4598 1 0 0.382035 157.54 1 90 0.2061 179.286 0.206477 175.825 9.72759 -39.0995 8.08457 -37.8948 1 0 0.231037 67.5402 0.12464 89.2858 1 -135 0.0955087 -112.46 0.231037 -112.46 0.12464 -90.7142
0.0673415 1 45 0.920953 -22.9342 1 0 0.389673 157.066 1 90 0.218053 179.262 0.218433 175.88 9.50634 -38.9617 7.82528 -37.658 1 0 0.230238 67.0658 0.128837 89.2618 1 -135 0.0974182 -112.934 0.230238 -112.934 0.128837 -90.7382
0.0689261 1 45 0.917642 -23.4163 1 0 0.397408 156.584 1 90 0.230831 179.237 0.231216 175.933 9.29024 -38.8207 7.5703 -37.4093 1 0 0.22941 66.5837 0.133251 89.2365 1 -135 0.0993521 -113.416 0.22941 -113.416 0.133251 -90.7635
0.070548 1 45 0.914211 -23.9061 1 0 0.405239 156.094 1 90 0.244509 179.21 0.244897 175.982 9.07916 -38.6765 7.31949 -37.1476 1 0 0.228553 66.0939 0.137902 89.2099 1 -135 0.10131 -113.906 0.228553 -113.906 0.137902 -90.7901
0.0722081 1 45 0.910657 -24.4036 1 0 0.413162 155.596 1 90 0.259167 179.182 0.25956 176.028 8.87299 -38.5289 7.07272 -36.8718 1 0 0.227664 65.5964 0.142808 89.1817 1 -135 0.103291 -114.404 0.227664 -114.404 0.142808 -90.8183
0.0739072 1 45 0.906979 -24.9089 1 0 0.421176 155.091 1 90 0.274898 179.152 0.275296 176.07 8.67162 -38.378 6.82988 -36.5807 1 0 0.226745 65.0911 0.147994 89.152 1 -135 0.105294 -114.909 0.226745 -114.909 0.147994 -90.848
0.0756463 1 45 0.903172 -25.4217 1 0 0.429278 154.578 1 90 0.291805 179.121 0.292208 176.11 8.47494 -38.2236 6.59084 -36.2731 1 0 0.225793 64.5783 0.153485 89.1206 1 -135 0.107319 -115.422 0.225793 -115.422 0.153485 -90.8794
